evaluator_id,expert_group,app,problem_group_id,problem_title,severity,frequency,impact,confidence,priority,notes
E01,ED,Deliveroo,D-PB01,Feedback checkout poco evidente,4,3,4,3,Alta,Rating demo inventato
E01,ED,Glovo,G-PB02,Filtri cucina ambigui,2,1,2,3,Media,Rating demo inventato
E01,ED,Deliveroo,D-PB03,Modifica carrello nascosta,3,2,3,3,Media,Rating demo inventato
E01,ED,Glovo,G-PB04,Costi extra tardivi,4,3,4,3,Alta,Rating demo inventato
E01,ED,Deliveroo,D-PB05,Tracking ordine denso,2,1,2,3,Media,Rating demo inventato
E01,ED,Glovo,G-PB06,Aiuto difficile da trovare,3,2,3,3,Media,Rating demo inventato
E02,ED,Deliveroo,D-PB01,Feedback checkout poco evidente,2,1,2,3,Media,Rating demo inventato
E02,ED,Glovo,G-PB02,Filtri cucina ambigui,3,2,3,3,Media,Rating demo inventato
E02,ED,Deliveroo,D-PB03,Modifica carrello nascosta,4,3,4,3,Alta,Rating demo inventato
E02,ED,Glovo,G-PB04,Costi extra tardivi,2,1,2,3,Media,Rating demo inventato
E02,ED,Deliveroo,D-PB05,Tracking ordine denso,3,2,3,3,Media,Rating demo inventato
E02,ED,Glovo,G-PB06,Aiuto difficile da trovare,4,3,4,3,Alta,Rating demo inventato
E03,ED,Deliveroo,D-PB01,Feedback checkout poco evidente,3,2,3,3,Media,Rating demo inventato
E03,ED,Glovo,G-PB02,Filtri cucina ambigui,4,3,4,3,Alta,Rating demo inventato
E03,ED,Deliveroo,D-PB03,Modifica carrello nascosta,2,1,2,3,Media,Rating demo inventato
E03,ED,Glovo,G-PB04,Costi extra tardivi,3,2,3,3,Media,Rating demo inventato
E03,ED,Deliveroo,D-PB05,Tracking ordine denso,4,3,4,3,Alta,Rating demo inventato
E03,ED,Glovo,G-PB06,Aiuto difficile da trovare,2,1,2,3,Media,Rating demo inventato
E04,EU,Deliveroo,D-PB01,Feedback checkout poco evidente,4,3,4,4,Alta,Rating demo inventato
E04,EU,Glovo,G-PB02,Filtri cucina ambigui,2,1,2,4,Media,Rating demo inventato
E04,EU,Deliveroo,D-PB03,Modifica carrello nascosta,3,2,3,4,Media,Rating demo inventato
E04,EU,Glovo,G-PB04,Costi extra tardivi,4,3,4,4,Alta,Rating demo inventato
E04,EU,Deliveroo,D-PB05,Tracking ordine denso,2,1,2,4,Media,Rating demo inventato
E04,EU,Glovo,G-PB06,Aiuto difficile da trovare,3,2,3,4,Media,Rating demo inventato
E05,EU,Deliveroo,D-PB01,Feedback checkout poco evidente,2,1,2,4,Media,Rating demo inventato
E05,EU,Glovo,G-PB02,Filtri cucina ambigui,3,2,3,4,Media,Rating demo inventato
E05,EU,Deliveroo,D-PB03,Modifica carrello nascosta,4,3,4,4,Alta,Rating demo inventato
E05,EU,Glovo,G-PB04,Costi extra tardivi,2,1,2,4,Media,Rating demo inventato
E05,EU,Deliveroo,D-PB05,Tracking ordine denso,3,2,3,4,Media,Rating demo inventato
E05,EU,Glovo,G-PB06,Aiuto difficile da trovare,4,3,4,4,Alta,Rating demo inventato
E06,EU,Deliveroo,D-PB01,Feedback checkout poco evidente,3,2,3,4,Media,Rating demo inventato
E06,EU,Glovo,G-PB02,Filtri cucina ambigui,4,3,4,4,Alta,Rating demo inventato
E06,EU,Deliveroo,D-PB03,Modifica carrello nascosta,2,1,2,4,Media,Rating demo inventato
E06,EU,Glovo,G-PB04,Costi extra tardivi,3,2,3,4,Media,Rating demo inventato
E06,EU,Deliveroo,D-PB05,Tracking ordine denso,4,3,4,4,Alta,Rating demo inventato
E06,EU,Glovo,G-PB06,Aiuto difficile da trovare,2,1,2,4,Media,Rating demo inventato
