No.,Response ID,Timestamp,Finished,User ID,1. Genere,2. Eta,3. Professione,4. Familiarita con app di delivery di cibo.,Deliveroo - fastidioso-piacevole,Deliveroo - incomprensibile-comprensibile,Deliveroo - creativo-privo di fantasia,Deliveroo - facile da apprendere-difficile da apprendere,Deliveroo - di grande valore-di poco valore,Deliveroo - noioso-appassionante,Deliveroo - non interessante-interessante,Deliveroo - imprevedibile-prevedibile,Deliveroo - veloce-lento,Deliveroo - originale-convenzionale,Deliveroo - ostruttivo-di supporto,Deliveroo - buono-scarso,Deliveroo - complicato-facile,Deliveroo - repellente-attraente,Deliveroo - usuale-moderno,Deliveroo - sgradevole-gradevole,Deliveroo - sicuro-insicuro,Deliveroo - attivante-soporifero,Deliveroo - conforme alle aspettative-non conforme alle aspettative,Deliveroo - inefficiente-efficiente,Deliveroo - chiaro-confuso,Deliveroo - non pragmatico-pragmatico,Deliveroo - ordinato-sovraccarico,Deliveroo - invitante-non invitante,Deliveroo - congeniale-ostile,Deliveroo - conservativo-innovativo,Deliveroo - NPS,Glovo - fastidioso-piacevole,Glovo - incomprensibile-comprensibile,Glovo - creativo-privo di fantasia,Glovo - facile da apprendere-difficile da apprendere,Glovo - di grande valore-di poco valore,Glovo - noioso-appassionante,Glovo - non interessante-interessante,Glovo - imprevedibile-prevedibile,Glovo - veloce-lento,Glovo - originale-convenzionale,Glovo - ostruttivo-di supporto,Glovo - buono-scarso,Glovo - complicato-facile,Glovo - repellente-attraente,Glovo - usuale-moderno,Glovo - sgradevole-gradevole,Glovo - sicuro-insicuro,Glovo - attivante-soporifero,Glovo - conforme alle aspettative-non conforme alle aspettative,Glovo - inefficiente-efficiente,Glovo - chiaro-confuso,Glovo - non pragmatico-pragmatico,Glovo - ordinato-sovraccarico,Glovo - invitante-non invitante,Glovo - congeniale-ostile,Glovo - conservativo-innovativo,Glovo - NPS
1,R001,2026-05-01 10:00:00,TRUE,U01,Femmina,18-24,Studente,Alta,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,8,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,7
2,R002,2026-05-01 10:00:00,TRUE,U02,Maschio,25-34,Studente,Media,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,9,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,8
3,R003,2026-05-01 10:00:00,TRUE,U03,Femmina,18-24,Studente,Alta,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,7,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,6
4,R004,2026-05-01 10:00:00,TRUE,U04,Maschio,35-44,Lavoratore,Bassa,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,8,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,7
5,R005,2026-05-01 10:00:00,TRUE,U05,Non binario,25-34,Studente,Media,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,9,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,8
6,R006,2026-05-01 10:00:00,TRUE,U06,Femmina,18-24,Studente,Alta,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,7,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,6
7,R007,2026-05-01 10:00:00,TRUE,U07,Maschio,25-34,Lavoratore,Media,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,8,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,7
8,R008,2026-05-01 10:00:00,TRUE,U08,Femmina,35-44,Studente,Alta,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,9,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,8
9,R009,2026-05-01 10:00:00,TRUE,U09,Maschio,25-34,Lavoratore,Bassa,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,7,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,6
10,R010,2026-05-01 10:00:00,TRUE,U10,Femmina,18-24,Studente,Media,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,8,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,7
11,R011,2026-05-01 10:00:00,TRUE,U11,Maschio,35-44,Lavoratore,Alta,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,9,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,8
12,R012,2026-05-01 10:00:00,TRUE,U12,Femmina,25-34,Lavoratore,Media,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,6,4,5,7,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,6
