expert_id,problem_id,severity
ED4,P001,3
ED4,P002,3
ED4,P003,3
ED4,P004,3
ED4,P005,1
ED4,P006,2
ED4,P007,3
ED4,P008,2
ED4,P009,2
ED4,P010,4
ED4,P011,2
ED4,P012,2
ED4,P013,1
ED4,P014,1
ED4,P015,2
ED4,P016,1
ED4,P017,3
ED4,P018,2
ED4,P019,2
ED4,P020,2
ED4,P021,2
ED4,P022,1
ED4,P023,0
ED4,P024,3
ED4,P025,2
ED4,P026,3
ED4,P027,2
ED4,P028,2
ED4,P029,2
ED4,P030,3
ED4,P031,2
ED4,P032,2
ED4,P033,0
ED4,P034,3
ED4,P035,2
ED4,P036,3
ED4,P037,2
ED4,P038,2
ED4,P039,2
ED4,P040,1
ED3,P001,1
ED3,P002,2
ED3,P003,2
ED3,P004,3
ED3,P005,1
ED3,P006,1
ED3,P007,3
ED3,P008,3
ED3,P009,3
ED3,P010,4
ED3,P011,3
ED3,P012,4
ED3,P013,2
ED3,P014,1
ED3,P015,2
ED3,P016,1
ED3,P017,3
ED3,P018,3
ED3,P019,3
ED3,P020,4
ED3,P021,2
ED3,P022,1
ED3,P023,2
ED3,P024,4
ED3,P025,1
ED3,P026,4
ED3,P027,3
ED3,P028,2
ED3,P029,2
ED3,P030,3
ED3,P031,3
ED3,P032,4
ED3,P033,4
ED3,P034,4
ED3,P035,3
ED3,P036,2
ED3,P037,2
ED3,P038,4
ED3,P039,3
ED3,P040,4
EU3,P001,3
EU3,P002,2
EU3,P003,2
EU3,P004,3
EU3,P005,1
EU3,P006,2
EU3,P007,2
EU3,P008,1
EU3,P009,1
EU3,P010,3
EU3,P011,2
EU3,P012,3
EU3,P013,3
EU3,P014,1
EU3,P015,2
EU3,P016,1
EU3,P017,3
EU3,P018,2
EU3,P019,1
EU3,P020,1
EU3,P021,3
EU3,P022,2
EU3,P023,3
EU3,P024,2
EU3,P025,1
EU3,P026,3
EU3,P027,2
EU3,P028,1
EU3,P029,3
EU3,P030,3
EU3,P031,1
EU3,P032,3
EU3,P033,3
EU3,P034,3
EU3,P035,2
EU3,P036,2
EU3,P037,2
EU3,P038,1
EU3,P039,2
EU3,P040,2
ED2,P001,0
ED2,P002,2
ED2,P003,1
ED2,P004,3
ED2,P005,1
ED2,P006,4
ED2,P007,2
ED2,P008,1
ED2,P009,3
ED2,P010,4
ED2,P011,0
ED2,P012,4
ED2,P013,1
ED2,P014,2
ED2,P015,3
ED2,P016,0
ED2,P017,4
ED2,P018,2
ED2,P019,3
ED2,P020,4
ED2,P021,0
ED2,P022,3
ED2,P023,0
ED2,P024,4
