user_id,response_id,timestamp,finished,genere,eta,professione,familiarita_delivery_code,familiarita_delivery_label
U01,cmqgmsa6l71pi01vmjmexacsy,2026-06-16 12:41:20,Yes,Maschio,Meno di 25 Anni,Studente,1,Molto familiare
U02,cmqglos1q0qrd01udznil23pv,2026-06-16 12:10:37,Yes,Maschio,Meno di 25 Anni,Impiegato,1,Molto familiare
U03,cmqgkwd4i6pn701vnuntkussy,2026-06-16 11:48:31,Yes,Maschio,Meno di 25 Anni,Studente,1,Molto familiare
U04,cmqgk3qzl3kkg01wr1c3j4dbs,2026-06-16 11:26:16,Yes,Maschio,Meno di 25 Anni,Studente,1,Molto familiare
U05,cmqf1jb9unh1o01vvkbo7owmq,2026-06-15 09:58:44,Yes,Maschio,Meno di 25 Anni,Studente,1,Molto familiare
U06,cmqezyveknab701vvz2ke4801,2026-06-15 09:14:50,Yes,Maschio,Meno di 25 Anni,Studente,1,Molto familiare
U07,cmqc8nytxcdb301vv4mbpnivq,2026-06-13 10:55:00,Yes,Femmina,Meno di 25 Anni,Impiegato,3,Poco familiare
U08,cmqc88i0umik501ww0cdgbc8f,2026-06-13 10:42:58,Yes,Maschio,Meno di 25 Anni,Studente,3,Poco familiare
U09,cmq5mmefs9pxnxe01s9gtmjkm,2026-06-08 19:51:18,Yes,Femmina,Tra i 25 e i 45 Anni,Impiegato,2,Abbastanza familiare
U10,cmq43fv29llctt50121h7aj0i,2026-06-07 18:06:34,Yes,Maschio,Meno di 25 Anni,Impiegato,1,Molto familiare
U11,cmq40zrq8ky3pt501stw14o36,2026-06-07 16:58:04,Yes,Maschio,Meno di 25 Anni,Studente,2,Abbastanza familiare
U12,cmq40cyjfnuo2w601hj94lcd2,2026-06-07 16:40:20,Yes,Maschio,Tra i 25 e i 45 Anni,Impiegato,2,Abbastanza familiare
U13,cmq3zfn7qkhqst501vl0ypzb4,2026-06-07 16:14:25,Yes,Maschio,Meno di 25 Anni,Impiegato,3,Poco familiare
U14,cmq3ucumriu8ft5010skomo94,2026-06-07 13:52:17,Yes,Femmina,Meno di 25 Anni,Studente,2,Abbastanza familiare
U15,cmq3tu47dkrcrue01ivcpi6et,2026-06-07 13:37:43,Yes,Maschio,Meno di 25 Anni,Studente,3,Poco familiare
U16,cmq3m8xnlgsygvt01rwqi3rfl,2026-06-07 10:05:17,Yes,Femmina,Meno di 25 Anni,Studente,3,Poco familiare
U17,cmq2fqtakad8nue01ow5snot7,2026-06-06 14:15:28,Yes,Maschio,Meno di 25 Anni,Studente,2,Abbastanza familiare
U18,cmq12hurpyeu2ue019d0l1nov,2026-06-05 15:16:49,Yes,Femmina,Meno di 25 Anni,Studente,1,Molto familiare
U19,cmpy4d9zb4n76uw017jget8h4,2026-06-03 13:45:56,Yes,Maschio,Meno di 25 Anni,Studente,2,Abbastanza familiare
U20,cmpxun3zghomasm013j7g8y6o,2026-06-03 09:13:39,Yes,Maschio,Meno di 25 Anni,Studente,2,Abbastanza familiare
U21,cmpx2r4se0uwyt501yrhd5lqm,2026-06-02 20:12:57,Yes,Maschio,Più di 45 Anni,Impiegato,1,Molto familiare
U22,cmpwxdx189w5muj01px24vnsc,2026-06-02 17:42:42,Yes,Maschio,Più di 45 Anni,Altro,1,Molto familiare
U23,cmpwvo4c15qecsz011to2a51k,2026-06-02 16:54:39,Yes,Femmina,Più di 45 Anni,Disoccupato,1,Molto familiare
U24,cmpwvm3hy5snhsd01oj9zwg0u,2026-06-02 16:53:05,Yes,Femmina,Più di 45 Anni,Impiegato,1,Molto familiare
