user_id,app,nps_score_0_10,nps_category
U01,Deliveroo,0,Detractor
U01,Glovo,7,Passive
U02,Deliveroo,2,Detractor
U02,Glovo,1,Detractor
U03,Deliveroo,0,Detractor
U03,Glovo,0,Detractor
U04,Deliveroo,6,Detractor
U04,Glovo,7,Passive
U05,Deliveroo,5,Detractor
U05,Glovo,7,Passive
U06,Deliveroo,0,Detractor
U06,Glovo,5,Detractor
U07,Deliveroo,9,Promoter
U07,Glovo,6,Detractor
U08,Deliveroo,7,Passive
U08,Glovo,9,Promoter
U09,Deliveroo,9,Promoter
U09,Glovo,9,Promoter
U10,Deliveroo,6,Detractor
U10,Glovo,9,Promoter
U11,Deliveroo,6,Detractor
U11,Glovo,9,Promoter
U12,Deliveroo,7,Passive
U12,Glovo,7,Passive
U13,Deliveroo,8,Passive
U13,Glovo,6,Detractor
U14,Deliveroo,7,Passive
U14,Glovo,9,Promoter
U15,Deliveroo,7,Passive
U15,Glovo,8,Passive
U16,Deliveroo,6,Detractor
U16,Glovo,8,Passive
U17,Deliveroo,4,Detractor
U17,Glovo,8,Passive
U18,Deliveroo,6,Detractor
U18,Glovo,8,Passive
U19,Deliveroo,5,Detractor
U19,Glovo,5,Detractor
U20,Deliveroo,6,Detractor
U20,Glovo,8,Passive
U21,Deliveroo,6,Detractor
U21,Glovo,7,Passive
U22,Deliveroo,9,Promoter
U22,Glovo,9,Promoter
U23,Deliveroo,7,Passive
U23,Glovo,9,Promoter
U24,Deliveroo,6,Detractor
U24,Glovo,7,Passive
