user_id,app,item_id,item_label,dimension,raw_value_1_7,score_minus3_plus3,positive_side
U01,Deliveroo,1,Fastidioso/Piacevole,Attrattività,2,-2,right
U01,Deliveroo,2,Incomprensibile/Comprensibile,Comprensibilità,1,-3,right
U01,Deliveroo,3,Creativo/Privo di Fantasia,Novità,4,0,left
U01,Deliveroo,4,Facile da Apprendere/Difficile da Apprendere,Comprensibilità,2,2,left
U01,Deliveroo,5,di Grande Valore/di Poco Valore,Stimolazione,2,2,left
U01,Deliveroo,6,Noioso/Appassionante,Stimolazione,2,-2,right
U01,Deliveroo,7,Non Interessante/Interessante,Stimolazione,3,-1,right
U01,Deliveroo,8,Imprevedibile/Prevedibile,Affidabilità/controllo,1,-3,right
U01,Deliveroo,9,Veloce/Lento,Efficienza,2,2,left
U01,Deliveroo,10,Originale/Convenzionale,Novità,6,-2,left
U01,Deliveroo,11,Ostruttivo/di Supporto,Affidabilità/controllo,3,-1,right
U01,Deliveroo,12,Buono/Scarso,Attrattività,3,1,left
U01,Deliveroo,13,Complicato/Facile,Comprensibilità,1,-3,right
U01,Deliveroo,14,Repellente/Attraente,Attrattività,1,-3,right
U01,Deliveroo,15,Usuale/Moderno,Novità,1,-3,right
U01,Deliveroo,16,Sgradevole/Gradevole,Attrattività,1,-3,right
U01,Deliveroo,17,Sicuro/Insicuro,Affidabilità/controllo,5,-1,left
U01,Deliveroo,18,Attivante/Soporifero,Stimolazione,6,-2,left
U01,Deliveroo,19,Conforme alle Aspettative/Non Conforme alle Aspettative,Affidabilità/controllo,3,1,left
U01,Deliveroo,20,Inefficiente/Efficiente,Efficienza,2,-2,right
U01,Deliveroo,21,Chiaro/Confuso,Comprensibilità,6,-2,left
U01,Deliveroo,22,Non Pragmatico/Pragmatico,Efficienza,2,-2,right
U01,Deliveroo,23,Ordinato/Sovraccarico,Efficienza,7,-3,left
U01,Deliveroo,24,Invitante/Non Invitante,Attrattività,5,-1,left
U01,Deliveroo,25,Congeniale/Ostile,Attrattività,5,-1,left
U01,Deliveroo,26,Conservativo/Innovativo,Novità,2,-2,right
U01,Glovo,1,Fastidioso/Piacevole,Attrattività,5,1,right
U01,Glovo,2,Incomprensibile/Comprensibile,Comprensibilità,3,-1,right
U01,Glovo,3,Creativo/Privo di Fantasia,Novità,3,1,left
U01,Glovo,4,Facile da Apprendere/Difficile da Apprendere,Comprensibilità,4,0,left
U01,Glovo,5,di Grande Valore/di Poco Valore,Stimolazione,5,-1,left
U01,Glovo,6,Noioso/Appassionante,Stimolazione,3,-1,right
U01,Glovo,7,Non Interessante/Interessante,Stimolazione,3,-1,right
U01,Glovo,8,Imprevedibile/Prevedibile,Affidabilità/controllo,5,1,right
