user_id,observer,local_user_id,app,task_id,task_label,completion_time_sec,completion_time_mmss,success,errors_count,help_requests,notes
U01,Valentina,U1,Deliveroo,T1,Task 1,101.07,01:41.07,TRUE,,,
U01,Valentina,U1,Deliveroo,T2,Task 2,100.27,01:40.27,TRUE,,,
U01,Valentina,U1,Deliveroo,T3,Task 3,173.9,02:53.90,TRUE,,,
U01,Valentina,U1,Glovo,T1,Task 1,32.82,00:32.82,TRUE,,,
U01,Valentina,U1,Glovo,T2,Task 2,62.96,01:02.96,TRUE,,,
U01,Valentina,U1,Glovo,T3,Task 3,86.15,01:26.15,TRUE,,,
U02,Valentina,U2,Deliveroo,T1,Task 1,74.47,01:14.47,TRUE,,,
U02,Valentina,U2,Deliveroo,T2,Task 2,57.22,00:57.22,TRUE,,,
U02,Valentina,U2,Deliveroo,T3,Task 3,69.89,01:09.89,TRUE,,,
U02,Valentina,U2,Glovo,T1,Task 1,37.21,00:37.21,TRUE,,,
U02,Valentina,U2,Glovo,T2,Task 2,5.53,00:05.53,TRUE,,,
U02,Valentina,U2,Glovo,T3,Task 3,61.28,01:01.28,TRUE,,,
U03,Valentina,U3,Deliveroo,T1,Task 1,107.86,01:47.86,TRUE,,,
U03,Valentina,U3,Deliveroo,T2,Task 2,122.9,02:02.90,TRUE,,,
U03,Valentina,U3,Deliveroo,T3,Task 3,70.27,01:10.27,TRUE,,,
U03,Valentina,U3,Glovo,T1,Task 1,159.61,02:39.61,TRUE,,,
U03,Valentina,U3,Glovo,T2,Task 2,80.5,01:20.50,TRUE,,,
U03,Valentina,U3,Glovo,T3,Task 3,113.31,01:53.31,TRUE,,,
U04,Valentina,U4,Deliveroo,T1,Task 1,42.15,00:42.15,TRUE,,,
U04,Valentina,U4,Deliveroo,T2,Task 2,49.5,00:49.50,TRUE,,,
U04,Valentina,U4,Deliveroo,T3,Task 3,52.3,00:52.30,TRUE,,,
U04,Valentina,U4,Glovo,T1,Task 1,26.45,00:26.45,TRUE,,,
U04,Valentina,U4,Glovo,T2,Task 2,31.6,00:31.60,TRUE,,,
U04,Valentina,U4,Glovo,T3,Task 3,45.12,00:45.12,TRUE,,,
U05,Valentina,U5,Deliveroo,T1,Task 1,65.32,01:05.32,TRUE,,,
U05,Valentina,U5,Deliveroo,T2,Task 2,68.14,01:08.14,TRUE,,,
U05,Valentina,U5,Deliveroo,T3,Task 3,75.45,01:15.45,TRUE,,,
U05,Valentina,U5,Glovo,T1,Task 1,41.18,00:41.18,TRUE,,,
U05,Valentina,U5,Glovo,T2,Task 2,48.92,00:48.92,TRUE,,,
U05,Valentina,U5,Glovo,T3,Task 3,66.5,01:06.50,TRUE,,,
