item_number,item,Deliveroo_mean,Glovo_mean,Deliveroo_median,Glovo_median,mean_difference_abs,median_difference_abs,p_value
1,fastidioso-piacevole,4.0,5.0,4.0,5.0,1.0,1.0,0.0
2,incomprensibile-comprensibile,4.12,5.25,4.0,6.0,1.12,2.0,0.01
3,creativo-privo di fantasia,4.25,3.42,4.0,3.0,0.83,1.0,0.04
4,facile da apprendere-difficile da apprendere,3.58,3.08,3.5,3.0,0.5,0.5,0.21
5,di grande valore-di poco valore,3.96,3.58,4.0,4.0,0.38,0.0,0.43
6,noioso-appassionante,3.42,4.08,4.0,4.0,0.67,0.0,0.07
7,non interessante-interessante,3.67,4.21,4.0,4.0,0.54,0.0,0.08
8,imprevedibile-prevedibile,4.75,5.17,5.0,5.0,0.42,0.0,0.28
9,veloce-lento,3.58,2.83,3.0,2.0,0.75,1.0,0.02
10,originale-convenzionale,5.08,3.58,5.0,4.0,1.5,1.0,0.0
11,ostruttivo-di supporto,4.42,4.92,5.0,5.0,0.5,0.0,0.25
12,buono-scarso,4.0,3.0,4.0,3.0,1.0,1.0,0.01
13,complicato-facile,4.38,5.33,5.0,6.0,0.96,1.0,0.01
14,repellente-attraente,3.75,4.62,4.0,5.0,0.88,1.0,0.02
15,usuale-moderno,3.88,5.0,4.0,5.0,1.12,1.0,0.01
16,sgradevole-gradevole,4.12,4.75,4.0,5.0,0.62,1.0,0.11
17,sicuro-insicuro,3.38,3.04,3.0,3.0,0.33,0.0,0.5
18,attivante-soporifero,4.29,3.38,4.0,3.5,0.92,0.5,0.03
19,conforme alle aspettative-non conforme alle aspettative,3.29,2.79,3.0,2.0,0.5,1.0,0.11
20,inefficiente-efficiente,4.5,5.38,5.0,5.0,0.88,0.0,0.01
21,chiaro-confuso,4.12,2.96,4.0,3.0,1.17,1.0,0.01
22,non pragmatico-pragmatico,4.04,4.29,4.0,4.5,0.25,0.5,0.49
23,ordinato-sovraccarico,4.42,3.71,4.5,3.5,0.71,1.0,0.14
24,invitante-non invitante,4.12,3.33,4.0,3.0,0.79,1.0,0.05
25,congeniale-ostile,4.08,3.04,4.0,3.0,1.04,1.0,0.01
26,conservativo-innovativo,3.58,4.96,3.5,5.0,1.37,1.5,0.0
