group_value,count,mean,median,std,system,group_field,robustness
Femmina,7,4.2,4.19,0.18,Deliveroo,genere,descrittivo
Maschio,17,3.96,3.96,0.37,Deliveroo,genere,descrittivo
Meno di 25 Anni,18,3.99,3.98,0.37,Deliveroo,eta,descrittivo
Più di 45 Anni,4,4.0,4.0,0.09,Deliveroo,eta,descrittivo_non_robusto
Tra i 25 e i 45 Anni,2,4.44,4.44,0.14,Deliveroo,eta,descrittivo_non_robusto
1,12,3.94,3.98,0.39,Deliveroo,familiarita delivery,descrittivo
2,7,4.07,3.96,0.32,Deliveroo,familiarita delivery,descrittivo
3,5,4.18,4.15,0.22,Deliveroo,familiarita delivery,descrittivo
Altro,1,3.92,3.92,,Deliveroo,situazione lavorativa,descrittivo_non_robusto
Disoccupato,1,3.92,3.92,,Deliveroo,situazione lavorativa,descrittivo_non_robusto
Impiegato,8,4.14,4.17,0.34,Deliveroo,situazione lavorativa,descrittivo
Studente,14,3.98,3.98,0.37,Deliveroo,situazione lavorativa,descrittivo
Femmina,7,4.01,4.12,0.23,Glovo,genere,descrittivo
Maschio,17,4.04,3.96,0.31,Glovo,genere,descrittivo
Meno di 25 Anni,18,4.01,4.0,0.23,Glovo,eta,descrittivo
Più di 45 Anni,4,3.86,3.81,0.18,Glovo,eta,descrittivo_non_robusto
Tra i 25 e i 45 Anni,2,4.54,4.54,0.54,Glovo,eta,descrittivo_non_robusto
1,12,3.88,3.87,0.19,Glovo,familiarita delivery,descrittivo
2,7,4.2,4.15,0.36,Glovo,familiarita delivery,descrittivo
3,5,4.15,4.19,0.23,Glovo,familiarita delivery,descrittivo
Altro,1,3.81,3.81,,Glovo,situazione lavorativa,descrittivo_non_robusto
Disoccupato,1,3.69,3.69,,Glovo,situazione lavorativa,descrittivo_non_robusto
Impiegato,8,4.14,4.13,0.35,Glovo,situazione lavorativa,descrittivo
Studente,14,4.0,4.0,0.24,Glovo,situazione lavorativa,descrittivo
